cmpcode,docnum,yr,period,doccode,adddate
MSO,105249,2025,5,API,2024-11-19
MSO,105250,2025,8,API,2025-02-12
MSO,105251,2025,3,API,2024-09-05
MSO,105252,2025,11,API,2025-05-20
MSO,105253,2024,3,APC,2023-09-21
MSO,105254,2025,5,API,2024-11-07
MSO,105255,2025,11,API,2025-05-09
MSO,105256,2024,8,APC,2024-02-25
MSO,105257,2025,12,API,2025-06-06
MSO,105258,2024,9,APC,2024-03-23
MSO,105259,2024,12,API,2024-06-27
MSO,105260,2025,7,APC,2025-01-27
MSO,105261,2025,7,API,2025-01-07
MSO,105262,2024,6,APC,2023-12-17
MSO,105263,2026,4,API,2025-10-09
MSO,105264,2025,7,API,2025-01-16
MSO,105265,2025,1,API,2024-07-20
MSO,105266,2025,4,API,2024-10-14
MSO,105267,2025,2,APC,2024-08-26
MSO,105268,2025,9,API,2025-03-17
MSO,105269,2025,6,API,2024-12-09
MSO,105270,2025,9,API,2025-03-25
MSO,105271,2025,11,API,2025-05-27
MSO,105272,2025,5,APC,2024-11-20
MSO,105273,2026,4,API,2025-10-07
MSO,105274,2026,4,APC,2025-10-24
MSO,105275,2026,4,API,2025-10-28
MSO,105276,2025,10,API,2025-04-01
MSO,105277,2025,1,API,2024-07-30
MSO,105278,2025,5,API,2024-11-02
MSO,105279,2025,8,API,2025-02-18
MSO,105280,2025,3,API,2024-09-16
MSO,105281,2025,5,API,2024-11-29
MSO,105282,2025,8,API,2025-02-28
MSO,105283,2025,4,API,2024-10-04
MSO,105284,2026,2,API,2025-08-16
MSO,105285,2026,1,API,2025-07-01
MSO,105286,2025,8,APC,2025-02-12
MSO,105287,2025,2,API,2024-08-24
MSO,105288,2025,5,API,2024-11-11
MSO,105289,2025,4,API,2024-10-25
MSO,105290,2025,6,API,2024-12-31
MSO,105291,2024,8,API,2024-02-13
MSO,105292,2024,11,API,2024-05-27
MSO,105293,2026,2,API,2025-08-12
MSO,105294,2024,12,API,2024-06-01
MSO,105295,2025,5,API,2024-11-28
MSO,105296,2025,1,API,2024-07-19
MSO,105297,2025,9,API,2025-03-16
MSO,105298,2025,10,APC,2025-04-09
MSO,105299,2025,9,API,2025-03-13
MSO,105300,2025,11,APC,2025-05-14
FDN,104610,2026,6,API,2025-12-14
FDN,104611,2025,12,API,2025-06-01
FDN,104612,2024,3,API,2023-09-17
FDN,104613,2026,6,API,2025-12-15
FDN,104614,2026,2,API,2025-08-21
FDN,104615,2025,12,API,2025-06-08
FDN,104616,2026,6,API,2025-12-15
FDN,104617,2025,9,API,2025-03-24
FDN,104618,2025,6,API,2024-12-15
FDN,104619,2025,3,APC,2024-09-04
FDN,104620,2024,4,API,2023-10-23
FDN,104621,2025,3,API,2024-09-06
FDN,104622,2025,11,APC,2025-05-27
FDN,104623,2024,7,API,2024-01-21
FDN,104624,2025,10,APC,2025-04-25
FDN,104625,2024,8,API,2024-02-10
FDN,104626,2025,4,API,2024-10-10
FDN,104627,2026,3,API,2025-09-16
FDN,104628,2025,5,API,2024-11-21
FDN,104629,2025,12,API,2025-06-02
FDN,104630,2024,6,APC,2023-12-12
FDN,104631,2024,9,API,2024-03-19
FDN,104632,2025,8,API,2025-02-21
FDN,104633,2026,4,API,2025-10-23
FDN,104634,2024,10,API,2024-04-10
FDN,104635,2024,9,API,2024-03-17
FDN,104636,2025,4,API,2024-10-08
FDN,104637,2026,1,APC,2025-07-13
FDN,104638,2024,7,API,2024-01-22
FDN,104639,2026,3,API,2025-09-19
FDN,104640,2024,6,API,2023-12-21
FDN,104641,2025,5,APC,2024-11-02
FDN,104642,2026,4,APC,2025-10-30
FDN,104643,2026,5,APC,2025-11-06
FDN,104644,2026,5,API,2025-11-11
FDN,104645,2024,6,APC,2023-12-06
FDN,104646,2024,6,APC,2023-12-07
FDN,104647,2025,6,API,2024-12-10
FDN,104648,2026,1,APC,2025-07-02
FDN,104649,2026,2,API,2025-08-26
FDN,104650,2025,2,APC,2024-08-22
FDN,104651,2025,7,APC,2025-01-30
FDN,104652,2025,6,API,2024-12-15
FDN,104653,2026,1,APC,2025-07-27
FDN,104654,2025,4,API,2024-10-30
FDN,104655,2024,10,API,2024-04-07
FDN,104656,2024,11,API,2024-05-13
FDN,104657,2024,11,API,2024-05-09
FDN,104658,2026,2,APC,2025-08-15
FDN,104659,2025,2,API,2024-08-04
FDN,104660,2024,7,API,2024-01-22
FDN,104661,2026,4,API,2025-10-11
FDN,104662,2025,12,API,2025-06-07
FDN,104663,2025,12,API,2025-06-02
FDN,104664,2025,1,API,2024-07-20
FDN,104665,2026,1,APC,2025-07-10
FDN,104666,2025,4,API,2024-10-04
FDN,104667,2025,4,APC,2024-10-28
FDN,104668,2026,2,API,2025-08-09
FDN,104669,2025,9,API,2025-03-14
FDN,104670,2025,7,APC,2025-01-16
FDN,104671,2024,11,APC,2024-05-21
FDN,104672,2024,12,APC,2024-06-27
FDN,104673,2025,11,API,2025-05-19
FDN,104674,2025,9,API,2025-03-08
FDN,104675,2026,5,API,2025-11-21
FDN,104676,2024,8,API,2024-02-06
FDN,104677,2026,4,API,2025-10-24
FDN,104678,2026,1,API,2025-07-17
FDN,104679,2024,9,API,2024-03-10
FDN,104680,2024,9,API,2024-03-24
FDN,104681,2024,9,API,2024-03-14
FDN,104682,2025,10,APC,2025-04-21
FDN,104683,2025,3,API,2024-09-17
FDN,104684,2025,7,API,2025-01-15
MSO,105301,2024,2,API,2023-08-30
MSO,105302,2024,12,API,2024-06-24
FDN,104685,2025,2,API,2024-08-23
FDN,104686,2024,3,APC,2023-09-02
FDN,104687,2025,7,APC,2025-01-14
FDN,104688,2025,11,API,2025-05-29
FDN,104689,2024,4,API,2023-10-04
FDN,104690,2026,4,API,2025-10-07
FDN,104691,2024,8,API,2024-02-02
FDN,104692,2026,2,API,2025-08-23
FDN,104693,2025,6,API,2024-12-30
FDN,104694,2026,4,API,2025-10-31
FDN,104695,2026,5,APC,2025-11-03
FDN,104696,2025,1,API,2024-07-08
FDN,104697,2024,8,APC,2024-02-22
FDN,104698,2024,2,API,2023-08-05
FDN,104699,2025,10,API,2025-04-21
FDN,104700,2026,4,API,2025-10-13
FDN,104701,2024,11,API,2024-05-15
MSO,105303,2024,9,API,2024-03-10
MSO,105304,2026,4,API,2025-10-19
MSO,105305,2024,1,APC,2023-07-13
MSO,105306,2026,3,API,2025-09-24
FDN,104702,2024,11,API,2024-05-18
FDN,104703,2025,1,API,2024-07-23
FDN,104704,2026,5,API,2025-11-13
MSO,105307,2024,7,API,2024-01-12
MSO,105308,2025,8,API,2025-02-27
MSO,105309,2025,12,API,2025-06-19
MSO,105310,2024,9,API,2024-03-07
MSO,105311,2026,4,API,2025-10-19
MSO,105312,2026,1,API,2025-07-18
MSO,105313,2026,1,API,2025-07-28
MSO,105314,2024,10,API,2024-04-10
MSO,105315,2024,10,APC,2024-04-26
MSO,105316,2025,5,APC,2024-11-17
MSO,105317,2025,4,API,2024-10-29
MSO,105318,2025,8,API,2025-02-21
MSO,105319,2024,12,API,2024-06-19
MSO,105320,2024,11,APC,2024-05-24
MSO,105321,2025,4,API,2024-10-03
MSO,105322,2025,4,API,2024-10-06
MSO,105323,2024,11,API,2024-05-07
MSO,105324,2025,6,API,2024-12-24
MSO,105325,2026,3,API,2025-09-01
FDN,104705,2024,9,API,2024-03-20
FDN,104706,2025,3,APC,2024-09-24
FDN,104707,2026,6,API,2025-12-06
FDN,104708,2026,4,API,2025-10-07
FDN,104709,2025,6,API,2024-12-08
FDN,104710,2026,6,API,2025-12-25
FDN,104711,2026,1,API,2025-07-30
FDN,104712,2025,9,API,2025-03-29
FDN,104713,2026,3,API,2025-09-12
FDN,104714,2026,5,API,2025-11-15
FDN,104715,2026,4,APC,2025-10-24
FDN,104716,2025,9,APC,2025-03-11
FDN,104717,2025,3,API,2024-09-02
FDN,104718,2025,6,API,2024-12-20
MSO,105326,2026,6,API,2025-12-15
MSO,105327,2025,11,API,2025-05-18
FDN,104719,2024,10,API,2024-04-01
FDN,104720,2026,6,APC,2025-12-12
FDN,104721,2024,7,API,2024-01-24
FDN,104722,2024,3,APC,2023-09-24
FDN,104723,2025,8,APC,2025-02-28
FDN,104724,2024,9,API,2024-03-07
FDN,104725,2024,12,API,2024-06-01
FDN,104726,2026,2,API,2025-08-30
FDN,104727,2024,3,API,2023-09-20
FDN,104728,2025,4,API,2024-10-29
FDN,104729,2024,11,API,2024-05-08
FDN,104730,2025,9,API,2025-03-20
FDN,104731,2026,3,API,2025-09-09
MSO,105328,2025,5,APC,2024-11-13
MSO,105329,2024,10,API,2024-04-28
MSO,105330,2026,1,API,2025-07-20
MSO,105331,2024,8,API,2024-02-03
MSO,105332,2024,6,API,2023-12-02
MSO,105333,2025,5,API,2024-11-20
MSO,105334,2025,3,API,2024-09-30
MSO,105335,2025,4,APC,2024-10-05
MSO,105336,2024,6,API,2023-12-11
MSO,105337,2024,8,API,2024-02-05
MSO,105338,2024,12,API,2024-06-16
MSO,105339,2026,4,API,2025-10-25
MSO,105340,2024,5,API,2023-11-06
MSO,105341,2026,2,API,2025-08-19
MSO,105342,2025,4,API,2024-10-15
MSO,105343,2026,3,API,2025-09-19
MSO,105344,2026,2,APC,2025-08-06
MSO,105345,2024,7,API,2024-01-14
MSO,105346,2024,2,API,2023-08-04
MSO,105347,2025,7,API,2025-01-06
MSO,105348,2026,2,API,2025-08-14
MSO,105349,2024,6,API,2023-12-22
MSO,105350,2026,1,API,2025-07-04
MSO,105351,2025,5,API,2024-11-28
MSO,105352,2026,4,APC,2025-10-12
MSO,105353,2024,11,API,2024-05-01
MSO,105354,2024,5,API,2023-11-20
FDN,104732,2024,12,API,2024-06-19
FDN,104733,2025,5,API,2024-11-25
FDN,104734,2024,3,API,2023-09-29
FDN,104735,2024,10,API,2024-04-23
FDN,104736,2024,6,API,2023-12-17
FDN,104737,2024,12,API,2024-06-11
FDN,104738,2025,8,API,2025-02-16
FDN,104739,2025,5,API,2024-11-28
FDN,104740,2024,3,API,2023-09-10
FDN,104741,2025,8,API,2025-02-11
FDN,104742,2024,7,API,2024-01-15
FDN,104743,2025,6,API,2024-12-09
FDN,104744,2024,6,API,2023-12-20
FDN,104745,2024,5,API,2023-11-06
FDN,104746,2026,6,API,2025-12-23
FDN,104747,2026,5,API,2025-11-27
FDN,104748,2026,2,APC,2025-08-25
FDN,104749,2024,12,API,2024-06-02
MSO,105355,2025,1,APC,2024-07-06
MSO,105356,2024,4,API,2023-10-13
MSO,105357,2025,11,API,2025-05-28
MSO,105358,2025,11,APC,2025-05-16
MSO,105359,2024,6,API,2023-12-27
MSO,105360,2025,5,API,2024-11-13
MSO,105361,2026,6,API,2025-12-23
MSO,105362,2024,10,APC,2024-04-28
MSO,105363,2025,10,APC,2025-04-10
MSO,105364,2025,12,API,2025-06-15
MSO,105365,2025,1,API,2024-07-15
MSO,105366,2024,11,API,2024-05-28
MSO,105367,2026,2,API,2025-08-14
MSO,105368,2025,12,API,2025-06-22
MSO,105369,2026,3,API,2025-09-01
MSO,105370,2026,2,API,2025-08-28
MSO,105371,2024,4,API,2023-10-15
MSO,105372,2026,1,API,2025-07-14
MSO,105373,2024,10,API,2024-04-24
MSO,105374,2024,5,APC,2023-11-13
MSO,105375,2024,9,API,2024-03-18
MSO,105376,2026,2,API,2025-08-13
MSO,105377,2025,4,API,2024-10-14
MSO,105378,2024,10,API,2024-04-11
MSO,105379,2024,12,APC,2024-06-07
MSO,105380,2025,12,API,2025-06-30
MSO,105381,2024,9,APC,2024-03-08
MSO,105382,2025,10,APC,2025-04-10
MSO,105383,2025,1,API,2024-07-23
MSO,105384,2024,1,API,2023-07-17
MSO,105385,2025,8,API,2025-02-25
MSO,105386,2026,2,API,2025-08-07
MSO,105387,2025,9,API,2025-03-22
MSO,105388,2025,8,API,2025-02-19
MSO,105389,2026,4,API,2025-10-08
MSO,105390,2025,5,API,2024-11-14
MSO,105391,2026,4,APC,2025-10-30
MSO,105392,2024,6,API,2023-12-26
MSO,105393,2024,12,API,2024-06-11
MSO,105394,2026,4,API,2025-10-02
FDN,104750,2024,12,API,2024-06-19
MSO,105395,2024,10,API,2024-04-24
MSO,105396,2025,2,APC,2024-08-05
MSO,105397,2025,1,API,2024-07-09
MSO,105398,2025,12,API,2025-06-28
MSO,105399,2024,9,API,2024-03-14
FDN,104751,2024,5,API,2023-11-13
FDN,104752,2025,3,API,2024-09-03
FDN,104753,2024,8,API,2024-02-08
FDN,104754,2026,5,API,2025-11-12
FDN,104755,2025,11,API,2025-05-01
MSO,105400,2025,9,API,2025-03-02
MSO,105401,2025,12,API,2025-06-12
MSO,105402,2025,4,API,2024-10-03
FDN,104756,2025,12,API,2025-06-21
FDN,104757,2025,11,API,2025-05-29
FDN,104758,2024,6,API,2023-12-03
MSO,105403,2024,11,API,2024-05-23
MSO,105404,2025,11,API,2025-05-30
MSO,105405,2026,2,APC,2025-08-01
MSO,105406,2025,5,API,2024-11-28
MSO,105407,2024,11,API,2024-05-04
MSO,105408,2025,11,API,2025-05-17
FDN,104759,2025,12,APC,2025-06-03
FDN,104760,2025,8,APC,2025-02-02
FDN,104761,2025,10,API,2025-04-23
FDN,104762,2026,4,API,2025-10-16
FDN,104763,2026,5,API,2025-11-16
FDN,104764,2025,11,API,2025-05-03
FDN,104765,2025,12,API,2025-06-08
FDN,104766,2024,2,API,2023-08-30
MSO,105409,2025,2,API,2024-08-15
MSO,105410,2024,7,APC,2024-01-27
MSO,105411,2024,12,API,2024-06-20
FDN,104767,2025,5,API,2024-11-27
FDN,104768,2025,4,API,2024-10-21
FDN,104769,2025,5,API,2024-11-23
MSO,105412,2024,5,API,2023-11-13
MSO,105413,2025,11,API,2025-05-06
MSO,105414,2024,10,API,2024-04-12
FDN,104770,2026,6,API,2025-12-05
FDN,104771,2026,6,APC,2025-12-11
MSO,105415,2025,2,API,2024-08-11
MSO,105416,2025,8,API,2025-02-16
MSO,105417,2026,1,API,2025-07-28
MSO,105418,2025,6,API,2024-12-11
MSO,105419,2025,3,API,2024-09-30
MSO,105420,2025,9,API,2025-03-18
MSO,105421,2026,2,APC,2025-08-04
MSO,105422,2024,12,API,2024-06-24
FDN,104772,2024,10,API,2024-04-05
FDN,104773,2024,11,API,2024-05-06
FDN,104774,2024,10,API,2024-04-04
FDN,104775,2025,6,APC,2024-12-30
FDN,104776,2025,10,APC,2025-04-18
FDN,104777,2025,12,API,2025-06-24
FDN,104778,2024,1,API,2023-07-20
FDN,104779,2025,12,API,2025-06-28
FDN,104780,2026,4,APC,2025-10-05
FDN,104781,2024,11,API,2024-05-02
FDN,104782,2025,12,API,2025-06-27
FDN,104783,2024,8,APC,2024-02-07
FDN,104784,2026,4,APC,2025-10-15
FDN,104785,2025,3,API,2024-09-06
FDN,104786,2025,7,API,2025-01-06
FDN,104787,2026,4,API,2025-10-30
FDN,104788,2025,10,APC,2025-04-14
FDN,104789,2025,9,API,2025-03-07
FDN,104790,2025,7,API,2025-01-19
FDN,104791,2025,2,API,2024-08-31
FDN,104792,2025,10,API,2025-04-11
FDN,104793,2025,6,API,2024-12-03
FDN,104794,2025,8,API,2025-02-10
FDN,104795,2025,5,API,2024-11-22
FDN,104796,2025,5,API,2024-11-24
FDN,104797,2025,1,API,2024-07-23
FDN,104798,2025,1,API,2024-07-19
FDN,104799,2025,2,APC,2024-08-29
FDN,104800,2025,2,API,2024-08-21
FDN,104801,2025,3,API,2024-09-09
FDN,104802,2024,12,API,2024-06-23
MSO,105423,2025,10,APC,2025-04-11
MSO,105424,2025,1,API,2024-07-31
MSO,105425,2026,4,API,2025-10-16
MSO,105426,2024,3,APC,2023-09-30
MSO,105427,2025,6,API,2024-12-20
MSO,105428,2025,6,API,2024-12-15
MSO,105429,2025,2,API,2024-08-30
MSO,105430,2024,10,APC,2024-04-04
MSO,105431,2026,5,API,2025-11-18
MSO,105432,2025,2,API,2024-08-08
MSO,105433,2024,2,API,2023-08-23
MSO,105434,2025,9,API,2025-03-13
MSO,105435,2025,10,API,2025-04-30
MSO,105436,2025,1,API,2024-07-11
MSO,105437,2025,4,API,2024-10-11
MSO,105438,2024,12,API,2024-06-14
MSO,105439,2024,9,API,2024-03-21
MSO,105440,2025,6,API,2024-12-11
MSO,105441,2024,10,APC,2024-04-08
MSO,105442,2025,3,API,2024-09-02
MSO,105443,2024,5,API,2023-11-07
MSO,105444,2025,5,API,2024-11-20
MSO,105445,2024,4,API,2023-10-28
FDN,104803,2025,8,API,2025-02-15
FDN,104804,2025,10,API,2025-04-07
FDN,104805,2026,3,APC,2025-09-21
FDN,104806,2026,4,API,2025-10-29
FDN,104807,2026,5,API,2025-11-18
FDN,104808,2024,7,API,2024-01-17
FDN,104809,2025,5,API,2024-11-01
FDN,104810,2025,9,APC,2025-03-12
FDN,104811,2026,2,API,2025-08-21
FDN,104812,2026,5,API,2025-11-06
FDN,104813,2025,6,API,2024-12-17
FDN,104814,2024,9,API,2024-03-12
FDN,104815,2025,7,APC,2025-01-17
FDN,104816,2025,12,APC,2025-06-07
FDN,104817,2024,3,API,2023-09-26
FDN,104818,2024,8,API,2024-02-01
MSO,105446,2024,12,API,2024-06-23
MSO,105447,2025,2,API,2024-08-28
MSO,105448,2025,12,API,2025-06-19
MSO,105449,2025,4,APC,2024-10-21
MSO,105450,2024,7,API,2024-01-14
MSO,105451,2025,12,API,2025-06-25
MSO,105452,2024,11,API,2024-05-04
MSO,105453,2025,2,API,2024-08-26
MSO,105454,2025,8,APC,2025-02-01
MSO,105455,2024,6,API,2023-12-31
MSO,105456,2026,4,API,2025-10-29
MSO,105457,2026,5,API,2025-11-02
MSO,105458,2026,1,API,2025-07-08
MSO,105459,2025,11,APC,2025-05-12
MSO,105460,2026,2,APC,2025-08-04
MSO,105461,2024,12,API,2024-06-10
MSO,105462,2025,4,API,2024-10-28
MSO,105463,2025,5,API,2024-11-13
FDN,104819,2025,9,API,2025-03-02
FDN,104820,2025,12,API,2025-06-15
FDN,104821,2026,4,API,2025-10-17
FDN,104822,2025,3,API,2024-09-21
FDN,104823,2024,11,API,2024-05-01
FDN,104824,2024,12,API,2024-06-18
FDN,104825,2024,10,API,2024-04-04
FDN,104826,2025,12,API,2025-06-15
FDN,104827,2026,5,API,2025-11-15
FDN,104828,2024,12,API,2024-06-15
FDN,104829,2024,9,API,2024-03-30
FDN,104830,2024,6,APC,2023-12-29
FDN,104831,2025,3,API,2024-09-26
FDN,104832,2025,1,API,2024-07-07
FDN,104833,2025,4,API,2024-10-09
FDN,104834,2025,8,API,2025-02-24
FDN,104835,2025,12,API,2025-06-25
MSO,105464,2025,11,API,2025-05-22
MSO,105465,2024,11,API,2024-05-30
FDN,104836,2026,1,API,2025-07-12
FDN,104837,2024,12,API,2024-06-25
FDN,104838,2024,7,API,2024-01-25
FDN,104839,2026,1,API,2025-07-28
MSO,105466,2026,2,API,2025-08-09
MSO,105467,2024,9,API,2024-03-09
MSO,105468,2025,1,API,2024-07-11
MSO,105469,2024,5,API,2023-11-12
MSO,105470,2025,3,API,2024-09-08
MSO,105471,2025,3,APC,2024-09-21
MSO,105472,2024,9,API,2024-03-23
MSO,105473,2025,10,APC,2025-04-11
FDN,104840,2024,11,API,2024-05-02
FDN,104841,2025,3,API,2024-09-12
FDN,104842,2025,8,API,2025-02-15
FDN,104843,2026,1,API,2025-07-29
FDN,104844,2025,10,API,2025-04-04
FDN,104845,2025,8,API,2025-02-07
FDN,104846,2026,1,API,2025-07-06
FDN,104847,2026,5,API,2025-11-15
FDN,104848,2025,8,API,2025-02-08
FDN,104849,2024,3,API,2023-09-09
FDN,104850,2025,8,API,2025-02-13
MSO,105474,2025,9,API,2025-03-04
MSO,105475,2024,3,API,2023-09-03
FDN,104851,2025,1,API,2024-07-04
FDN,104852,2025,11,API,2025-05-06
FDN,104853,2024,12,API,2024-06-30
FDN,104854,2024,4,APC,2023-10-02
FDN,104855,2025,5,API,2024-11-03
FDN,104856,2025,12,APC,2025-06-01
FDN,104857,2024,5,API,2023-11-12
MSO,105476,2026,6,API,2025-12-19
MSO,105477,2024,7,APC,2024-01-07
MSO,105478,2025,3,API,2024-09-30
MSO,105479,2026,6,API,2025-12-03
MSO,105480,2025,1,API,2024-07-04
MSO,105481,2025,4,API,2024-10-27
MSO,105482,2024,9,API,2024-03-16
MSO,105483,2025,11,API,2025-05-23
MSO,105484,2024,7,APC,2024-01-04
MSO,105485,2025,4,API,2024-10-01
MSO,105486,2026,2,API,2025-08-09
MSO,105487,2025,11,API,2025-05-01
MSO,105488,2025,12,API,2025-06-01
FDN,104858,2026,4,APC,2025-10-18
FDN,104859,2024,9,API,2024-03-12
FDN,104860,2025,11,API,2025-05-21
FDN,104861,2026,2,API,2025-08-23
FDN,104862,2025,5,API,2024-11-05
MSO,105489,2024,12,API,2024-06-28
MSO,105490,2025,12,API,2025-06-09
MSO,105491,2025,6,API,2024-12-07
FDN,104863,2025,6,API,2024-12-02
FDN,104864,2025,5,API,2024-11-27
FDN,104865,2024,12,API,2024-06-19
FDN,104866,2024,6,API,2023-12-23
FDN,104867,2025,10,API,2025-04-12
FDN,104868,2025,6,API,2024-12-21
FDN,104869,2026,5,API,2025-11-23
FDN,104870,2024,11,APC,2024-05-10
MSO,105492,2025,7,API,2025-01-23
MSO,105493,2026,2,API,2025-08-25
MSO,105494,2024,11,API,2024-05-26
MSO,105495,2025,7,API,2025-01-01
MSO,105496,2026,6,API,2025-12-21
MSO,105497,2026,3,API,2025-09-03
MSO,105498,2026,3,API,2025-09-21
MSO,105499,2024,10,API,2024-04-24
MSO,105500,2024,11,API,2024-05-31
MSO,105501,2025,11,APC,2025-05-18
MSO,105502,2025,5,API,2024-11-26
MSO,105503,2025,3,API,2024-09-16
FDN,104871,2024,7,API,2024-01-30
FDN,104872,2024,1,API,2023-07-28
FDN,104873,2025,5,API,2024-11-22
FDN,104874,2026,3,API,2025-09-08
FDN,104875,2026,4,API,2025-10-15
FDN,104876,2025,4,API,2024-10-17
FDN,104877,2024,12,API,2024-06-20
FDN,104878,2026,6,API,2025-12-27
FDN,104879,2024,12,APC,2024-06-13
FDN,104880,2025,10,API,2025-04-15
FDN,104881,2024,9,API,2024-03-19
FDN,104882,2025,8,APC,2025-02-19
MSO,105504,2025,3,API,2024-09-11
MSO,105505,2025,4,API,2024-10-11
MSO,105506,2025,6,API,2024-12-16
MSO,105507,2025,7,API,2025-01-17
MSO,105508,2024,6,API,2023-12-20
MSO,105509,2025,8,APC,2025-02-08
MSO,105510,2024,8,API,2024-02-25
MSO,105511,2026,1,APC,2025-07-24
MSO,105512,2025,3,APC,2024-09-05
MSO,105513,2024,9,APC,2024-03-27
FDN,104883,2024,9,API,2024-03-04
FDN,104884,2025,12,API,2025-06-09
FDN,104885,2026,3,API,2025-09-03
FDN,104886,2025,1,APC,2024-07-06
FDN,104887,2025,2,APC,2024-08-25
FDN,104888,2025,12,API,2025-06-24
FDN,104889,2024,10,API,2024-04-17
FDN,104890,2026,1,API,2025-07-03
FDN,104891,2025,4,API,2024-10-24
FDN,104892,2026,1,APC,2025-07-22
FDN,104893,2024,6,API,2023-12-15
FDN,104894,2024,8,API,2024-02-18
FDN,104895,2025,12,API,2025-06-12
FDN,104896,2025,10,API,2025-04-13
FDN,104897,2025,5,API,2024-11-06
FDN,104898,2024,7,API,2024-01-11
FDN,104899,2025,4,API,2024-10-03
FDN,104900,2026,4,API,2025-10-22
FDN,104901,2025,8,APC,2025-02-17
FDN,104902,2024,11,API,2024-05-14
FDN,104903,2025,7,API,2025-01-06
FDN,104904,2025,9,APC,2025-03-13
FDN,104905,2025,12,API,2025-06-01
FDN,104906,2024,9,API,2024-03-05
FDN,104907,2025,9,API,2025-03-22
FDN,104908,2025,6,API,2024-12-09
FDN,104909,2026,4,API,2025-10-04
FDN,104910,2026,5,API,2025-11-11
FDN,104911,2024,10,API,2024-04-12
FDN,104912,2025,10,API,2025-04-11
FDN,104913,2024,4,APC,2023-10-25
FDN,104914,2024,12,API,2024-06-17
FDN,104915,2024,10,API,2024-04-13
FDN,104916,2025,8,API,2025-02-19
FDN,104917,2025,7,API,2025-01-17
FDN,104918,2025,6,API,2024-12-06
FDN,104919,2025,11,API,2025-05-01
FDN,104920,2025,6,API,2024-12-24
FDN,104921,2025,12,API,2025-06-19
FDN,104922,2025,3,API,2024-09-10
FDN,104923,2025,10,API,2025-04-15
FDN,104924,2026,1,APC,2025-07-23
FDN,104925,2025,9,API,2025-03-12
FDN,104926,2024,1,API,2023-07-04
FDN,104927,2025,5,API,2024-11-15
FDN,104928,2026,1,API,2025-07-25
FDN,104929,2025,3,API,2024-09-06
FDN,104930,2024,8,APC,2024-02-03
FDN,104931,2025,9,APC,2025-03-15
FDN,104932,2025,1,API,2024-07-05
FDN,104933,2025,12,API,2025-06-18
MSO,105514,2025,10,APC,2025-04-23
MSO,105515,2025,12,API,2025-06-21
MSO,105516,2024,8,API,2024-02-07
MSO,105517,2025,8,API,2025-02-02
MSO,105518,2026,4,APC,2025-10-02
FDN,104934,2024,5,API,2023-11-10
FDN,104935,2024,10,API,2024-04-03
FDN,104936,2025,12,APC,2025-06-14
FDN,104937,2025,8,API,2025-02-23
FDN,104938,2025,4,API,2024-10-26
MSO,105519,2025,11,API,2025-05-13
MSO,105520,2026,3,APC,2025-09-10
MSO,105521,2024,10,API,2024-04-26
FDN,104939,2025,5,API,2024-11-10
FDN,104940,2025,1,APC,2024-07-04
FDN,104941,2024,2,API,2023-08-15
MSO,105522,2025,3,API,2024-09-12
MSO,105523,2025,10,API,2025-04-17
MSO,105524,2025,11,API,2025-05-16
MSO,105525,2024,6,API,2023-12-30
MSO,105526,2024,10,API,2024-04-15
MSO,105527,2024,10,API,2024-04-28
MSO,105528,2025,12,APC,2025-06-05
MSO,105529,2024,5,API,2023-11-05
MSO,105530,2025,7,API,2025-01-18
MSO,105531,2025,4,APC,2024-10-01
MSO,105532,2025,6,API,2024-12-30
MSO,105533,2025,7,APC,2025-01-14
MSO,105534,2025,2,API,2024-08-15
FDN,104942,2026,6,API,2025-12-07
FDN,104943,2026,3,APC,2025-09-25
FDN,104944,2025,8,API,2025-02-04
FDN,104945,2024,12,API,2024-06-14
MSO,105535,2025,11,API,2025-05-18
MSO,105536,2025,10,API,2025-04-28
MSO,105537,2025,4,API,2024-10-26
MSO,105538,2025,5,API,2024-11-24
MSO,105539,2025,1,API,2024-07-23
MSO,105540,2025,3,API,2024-09-16
MSO,105541,2026,1,API,2025-07-16
MSO,105542,2025,3,API,2024-09-09
MSO,105543,2024,11,API,2024-05-16
MSO,105544,2026,6,API,2025-12-18
MSO,105545,2026,4,API,2025-10-18
MSO,105546,2025,3,APC,2024-09-28
MSO,105547,2025,5,API,2024-11-09
MSO,105548,2024,7,API,2024-01-18
MSO,105549,2025,12,API,2025-06-28
MSO,105550,2026,4,API,2025-10-10
MSO,105551,2025,6,API,2024-12-04
MSO,105552,2024,5,APC,2023-11-14
MSO,105553,2025,4,APC,2024-10-15
MSO,105554,2024,7,APC,2024-01-29
MSO,105555,2024,12,API,2024-06-06
MSO,105556,2025,12,API,2025-06-16
MSO,105557,2024,8,API,2024-02-14
MSO,105558,2025,12,API,2025-06-27
MSO,105559,2025,4,API,2024-10-01
MSO,105560,2026,6,API,2025-12-28
MSO,105561,2025,7,API,2025-01-21
MSO,105562,2025,10,API,2025-04-27
MSO,105563,2025,10,API,2025-04-04
MSO,105564,2025,2,API,2024-08-31
MSO,105565,2025,9,API,2025-03-03
MSO,105566,2025,11,API,2025-05-27
FDN,104946,2025,10,API,2025-04-23
FDN,104947,2024,11,API,2024-05-04
FDN,104948,2026,1,API,2025-07-12
FDN,104949,2024,7,APC,2024-01-01
FDN,104950,2025,3,API,2024-09-02
