spend_rank,vendor_code,vendor_name,total_spend,paid_lines,pct_of_total,running_pct_of_total
686,V3392,Bluegrass Associates Co 1187,289052.14,34,0.004,98.6849
687,V2558,Frontier Diagnostics Supply Ltd 1692,288853.97,28,0.004,98.6889
688,V2650,Allied General Supply LP 3096,286122.43,39,0.004,98.6929
689,V2348,Frontier Print Services Group 2883,285681.96,21,0.004,98.6968
690,V2330,Regional Mechanical Group Co 2542,285092.27,20,0.0039,98.7008
691,V3232,Heritage Surgical Systems Holdings 1339,283724.82,35,0.0039,98.7047
692,V3391,Cornerstone Diagnostics Group 2519,283388.13,28,0.0039,98.7086
693,V2362,Lakeshore RX Wholesale Corp 2314,282554.93,31,0.0039,98.7125
694,V2468,Granite Associates Group 2733,282498.03,19,0.0039,98.7164
695,V1571,Lakeshore Software Solutions LP 1673,281787.88,20,0.0039,98.7203
696,V2550,Apex Clinical Reagents Corp 0595,280296.22,49,0.0039,98.7242
697,V3080,Brightline BioSupply Corp 2917,279403.76,35,0.0039,98.7281
698,V2785,Integrated Implant Solutions Corp 0574,275944.23,16,0.0038,98.7319
699,V1899,Evergreen Drug Supply Co 2827,275885.34,33,0.0038,98.7357
700,V2675,Allied Consulting Group Corp 1818,275700.08,20,0.0038,98.7395
701,V1277,Brightline Diagnostics Group 2001,274523.71,29,0.0038,98.7433
702,V1026,Heritage Lab Solutions Inc 0251,273694.88,36,0.0038,98.7471
703,V2520,Heritage Implant Solutions Group 2199,273037.28,26,0.0038,98.7509
704,V2813,Cardinal Consulting Group Corp 1407,272775.16,33,0.0038,98.7546
705,V1225,Dominion Surgical Systems Inc 2810,271729.46,36,0.0038,98.7584
706,V1739,Southpoint Mechanical Group Holdings 1779,270748.72,22,0.0037,98.7621
707,V0512,Cardinal Business Products Inc 2497,268520.33,23,0.0037,98.7659
708,V3453,Lakeshore Biologics LP 1166,266370.69,25,0.0037,98.7695
709,V3051,Vanguard General Supply Inc 3258,263982.16,34,0.0037,98.7732
710,V2928,Granite Associates LP 2437,263663.72,45,0.0036,98.7768
711,V0584,Vanguard Health IT Corp 1395,261982.42,17,0.0036,98.7805
712,V2406,Cardinal Diagnostics Supply Corp 0968,261952.66,20,0.0036,98.7841
713,V2223,United Technology Group Holdings 2381,261218.72,18,0.0036,98.7877
714,V1922,Allied Laboratory Supply LLC 2821,260682.06,32,0.0036,98.7913
715,V1558,Sterling Property Mgmt LLC 2722,259947.98,33,0.0036,98.7949
716,V1726,Highland Pharma Distribution LLC 2908,259760.42,14,0.0036,98.7985
717,V0672,United Partners LLP Ltd 2322,259482.1,23,0.0036,98.8021
718,V1997,Horizon Clinical Reagents LLC 3256,256848.18,21,0.0036,98.8056
719,V2074,Highland General Supply Co 3213,255604.1,14,0.0035,98.8092
720,V0087,Premier Locum Partners Co 2106,254369.63,24,0.0035,98.8127
721,V0058,Sentinel Facilities Services Group 1394,253547.42,25,0.0035,98.8162
722,V0439,Regional Workforce Solutions LLC 0261,253520.69,40,0.0035,98.8197
723,V3197,National Mechanical Group Holdings 1209,252700.27,26,0.0035,98.8232
724,V0375,Atlas Implant Solutions Holdings 3463,252595.1,33,0.0035,98.8267
725,V1406,Cornerstone Diagnostics Supply Group 3199,251815.04,39,0.0035,98.8302
726,V1744,Pinnacle Conference Group Inc 3143,251530.04,43,0.0035,98.8336
727,V0633,Ironwood Biologics LP 0716,250582.85,31,0.0035,98.8371
728,V3147,Lakeshore Healthcare Staffing Group 3276,250510.99,35,0.0035,98.8406
729,V0703,Advanced Implant Solutions Group 0031,250091.21,19,0.0035,98.844
730,V0354,Vanguard Partners LLP Inc 3236,250043.85,27,0.0035,98.8475
731,V2140,Metro Print Services Ltd 1373,247243.3,19,0.0034,98.8509
732,V2040,Harbor Staffing Group Holdings 0992,244952.95,28,0.0034,98.8543
733,V0926,Northgate BioSupply Inc 1464,244876.71,18,0.0034,98.8577
734,V2020,Vanguard Software Solutions Group 3301,244074.08,39,0.0034,98.8611
735,V3074,Dominion Healthcare Staffing Inc 1932,243586.98,38,0.0034,98.8644
736,V2580,Riverside Hospitality Group LLC 1152,242359.61,19,0.0034,98.8678
737,V0287,Highland Pharmaceuticals Co 0777,241894.97,21,0.0033,98.8711
738,V1988,Cornerstone Associates LP 1513,240922.57,32,0.0033,98.8745
739,V2866,Trinity Implant Solutions Ltd 0308,240713.24,23,0.0033,98.8778
740,V3366,Apex Diagnostics Supply LP 1484,240309.89,24,0.0033,98.8811
741,V1866,Sentinel Supply Company Inc 2561,240273.99,26,0.0033,98.8844
742,V2887,Coastal Drug Supply Co 0869,239726.78,31,0.0033,98.8878
743,V1620,Coastal Drug Supply Inc 1994,239095.0,17,0.0033,98.8911
744,V2893,Vertex Associates LLC 2700,237626.5,21,0.0033,98.8944
745,V2611,Bluegrass Office Supply LP 2231,237268.23,39,0.0033,98.8976
746,V1679,Regional Office Supply Corp 2963,236916.76,34,0.0033,98.9009
747,V1891,Dominion Laboratory Supply LLC 0124,236714.57,40,0.0033,98.9042
748,V1264,Coastal Conference Group Holdings 2354,236120.36,22,0.0033,98.9074
749,V1788,Highland Associates LLC 2982,235986.34,20,0.0033,98.9107
750,V0978,Ironwood Cloud Services LLC 0688,235798.6,24,0.0033,98.914
751,V1009,Sterling Staffing Group Ltd 1983,235169.37,25,0.0033,98.9172
752,V0085,Reliable RX Wholesale Co 1490,234345.99,36,0.0032,98.9205
753,V2716,Coastal Clinical Reagents Inc 1543,233879.59,23,0.0032,98.9237
754,V3038,National Drug Supply Group 0982,233586.51,25,0.0032,98.9269
755,V3355,National Mechanical Group LLC 2977,232586.4,34,0.0032,98.9301
756,V0782,Keystone Conference Group Corp 1822,232092.7,26,0.0032,98.9334
757,V2052,Metro Biologics Co 0174,231983.15,18,0.0032,98.9366
758,V2248,Dominion Associates LLC 3273,229710.11,30,0.0032,98.9397
759,V2049,Allied Medical Devices Co 1252,228284.02,36,0.0032,98.9429
760,V2570,Bluegrass Water Authority Inc 2358,227011.11,23,0.0031,98.946
761,V1442,Cascade Pharma Distribution LLC 2996,226820.36,41,0.0031,98.9492
762,V0717,Riverside Mechanical Group Inc 1590,225774.96,16,0.0031,98.9523
763,V1357,Lakeshore Environmental Svcs LLC 0508,225751.5,23,0.0031,98.9554
764,V1695,Premier Consulting Group Ltd 1253,225646.17,26,0.0031,98.9585
765,V2226,Riverside Diagnostics Supply Ltd 0001,224353.66,18,0.0031,98.9616
766,V2080,Atlas Drug Supply LP 3151,223440.65,17,0.0031,98.9647
767,V2415,Advanced Facilities Services Holdings 3050,221652.58,21,0.0031,98.9678
768,V2188,Horizon Professional Services Ltd 2421,221419.21,39,0.0031,98.9709
769,V2702,Horizon Facilities Services Ltd 0666,218740.96,26,0.003,98.9739
770,V1966,Trinity Drug Supply Ltd 1284,218336.6,27,0.003,98.9769
771,V3359,Bluegrass Consulting Group Holdings 0780,218297.06,17,0.003,98.9799
772,V0424,Brightline Pharmaceuticals LP 1709,217872.12,29,0.003,98.9829
773,V1700,Sentinel Staffing Group Holdings 3398,217793.26,43,0.003,98.986
774,V1328,Crescent Building Maintenance Ltd 0671,217373.75,20,0.003,98.989
775,V0687,Beacon Health IT LLC 2308,216430.16,32,0.003,98.992
776,V1103,Cascade Print Services Group 1501,215234.6,18,0.003,98.9949
777,V2018,Brightline RX Wholesale LP 2082,215158.58,18,0.003,98.9979
778,V3455,Vertex Utility Services Holdings 0945,214762.65,27,0.003,99.0009
779,V2228,Integrated Pharmaceuticals Holdings 0682,214640.15,17,0.003,99.0038
780,V2988,Cardinal Facilities Services Ltd 1735,214547.55,23,0.003,99.0068
781,V2036,Sterling Supply Company Holdings 2592,213236.83,27,0.0029,99.0098
782,V2519,Heritage Property Mgmt Inc 1341,213018.33,23,0.0029,99.0127
783,V1191,Horizon Technology Group Ltd 2902,210289.46,42,0.0029,99.0156
784,V3333,Advanced Drug Supply Co 0293,210144.7,19,0.0029,99.0185
785,V1356,Ironwood Drug Supply Ltd 0501,209226.75,32,0.0029,99.0214
786,V2631,Summit Drug Supply Group 3373,208986.04,18,0.0029,99.0243
787,V0598,Allied Associates Ltd 3421,208817.71,37,0.0029,99.0272
788,V2919,Riverside RX Wholesale Holdings 2550,208244.32,18,0.0029,99.0301
789,V3005,Harbor Pharmaceuticals LP 1046,207037.51,20,0.0029,99.0329
790,V0542,Lakeshore Mechanical Group LP 0743,206865.49,21,0.0029,99.0358
791,V3347,Lakeshore General Supply Co 2394,206251.13,37,0.0029,99.0387
792,V3489,Ironwood Diagnostics LP 3225,205731.15,21,0.0028,99.0415
793,V1865,Liberty Advisory Partners LP 3324,205349.0,31,0.0028,99.0443
794,V0626,Metro Technology Group Co 2725,204879.49,23,0.0028,99.0472
795,V0583,Riverside Diagnostics LLC 2526,204504.24,21,0.0028,99.05
796,V3434,Atlas Diagnostics Supply LLC 3306,204093.16,29,0.0028,99.0528
797,V2000,Brightline Building Maintenance Ltd 2954,202961.93,18,0.0028,99.0556
798,V2244,Lakeshore Laboratory Supply Group 1319,202644.17,19,0.0028,99.0584
799,V0768,Premier Pharmaceuticals Inc 0048,202525.05,25,0.0028,99.0612
800,V1680,Liberty Environmental Svcs Corp 1352,201719.99,26,0.0028,99.064
801,V0607,Advanced Print Services Ltd 0292,201411.02,24,0.0028,99.0668
802,V1853,Reliable Mechanical Group Corp 0380,200822.24,21,0.0028,99.0696
803,V2681,Apex Print Services Co 2371,198749.45,24,0.0027,99.0723
804,V1933,Regional Workforce Solutions Holdings 0104,197288.89,38,0.0027,99.0751
805,V1164,Frontier Surgical Systems LP 1000,196993.2,30,0.0027,99.0778
806,V2063,Coastal Environmental Svcs Holdings 3284,196247.42,21,0.0027,99.0805
807,V0781,Precision Laboratory Supply Ltd 0707,195370.39,30,0.0027,99.0832
808,V3128,Keystone Medical Devices LLC 2539,195051.13,25,0.0027,99.0859
809,V1179,Riverside Medical Devices Corp 1451,194494.68,27,0.0027,99.0886
810,V1681,Dominion Workforce Solutions Ltd 2480,193867.95,21,0.0027,99.0913
811,V3256,Horizon Business Products Ltd 2562,193731.46,19,0.0027,99.094
812,V0369,Cornerstone Clinical Reagents LLC 1207,192953.56,17,0.0027,99.0966
813,V1508,Precision Technology Group LP 0446,191719.44,19,0.0027,99.0993
814,V2732,Pinnacle Laboratory Supply Ltd 1496,191555.51,22,0.0026,99.1019
815,V2718,Summit Power & Light Ltd 0373,191472.52,16,0.0026,99.1046
816,V1093,Highland Lab Solutions Co 0316,190657.4,28,0.0026,99.1072
817,V2434,Cardinal Clinical Reagents LP 2203,190055.5,28,0.0026,99.1098
818,V2711,Pinnacle Power & Light Holdings 1894,189654.22,17,0.0026,99.1125
819,V1298,United Implant Solutions Corp 0502,188862.89,23,0.0026,99.1151
820,V0013,Evergreen Partners LLP LP 1101,188526.16,22,0.0026,99.1177
821,V2779,Coastal Laboratory Supply Group 0876,188508.15,31,0.0026,99.1203
822,V3206,Summit Data Systems Corp 3270,188280.53,20,0.0026,99.1229
823,V1627,Trinity Cloud Services Group 0681,187465.71,29,0.0026,99.1255
824,V2891,Reliable Medical Devices LP 3423,187415.97,19,0.0026,99.1281
825,V3187,Premier Staffing Group Corp 0961,185406.14,21,0.0026,99.1306
826,V0966,Regional Environmental Svcs Group 0437,184753.15,21,0.0026,99.1332
827,V1490,Southpoint Mechanical Group LP 0630,184709.88,37,0.0026,99.1358
828,V0649,Reliable Partners LLP LP 1437,182569.34,24,0.0025,99.1383
829,V2479,Sterling Software Solutions LP 2874,181640.59,25,0.0025,99.1408
830,V2935,Apex Professional Services Inc 1923,181234.91,15,0.0025,99.1433
831,V3242,Coastal Environmental Svcs Ltd 0734,180816.13,31,0.0025,99.1458
832,V2307,Riverside Facilities Services Group 1409,180714.48,18,0.0025,99.1483
833,V0609,Frontier Locum Partners Corp 3271,179636.91,32,0.0025,99.1508
834,V1344,Northgate Facilities Services LLC 2686,179375.75,16,0.0025,99.1533
835,V3284,Metro Pharma Distribution Ltd 2910,179345.97,17,0.0025,99.1557
836,V2770,Paramount Gas Company LLC 0971,179261.44,18,0.0025,99.1582
837,V2524,Advanced Consulting Group Inc 3422,179045.71,36,0.0025,99.1607
838,V2183,Continental Supply Company Holdings 3170,178822.72,24,0.0025,99.1632
839,V1990,Frontier Medical Devices Inc 1335,178801.03,24,0.0025,99.1656
840,V0710,National Mechanical Group Co 3310,178401.94,37,0.0025,99.1681
841,V1879,Cardinal Environmental Svcs Inc 1133,177916.66,32,0.0025,99.1706
842,V3518,Apex  Partners LLP Holdings 1455,177288.72,21,0.0025,99.173
843,V3112,Frontier Lab Solutions LLC 1390,177173.34,17,0.0025,99.1755
844,V0611,Vertex Building Maintenance LP 1436,176751.1,30,0.0024,99.1779
845,V2399,Continental Surgical Systems Ltd 0978,176559.68,22,0.0024,99.1804
846,V2800,Trinity Locum Partners LP 0559,175608.89,26,0.0024,99.1828
847,V2532,Frontier Professional Services Ltd 2596,175016.23,28,0.0024,99.1852
848,V1566,National Facilities Services Group 1158,174889.74,29,0.0024,99.1876
849,V0034,National Software Solutions Co 3327,174778.62,13,0.0024,99.19
850,V1887,Riverside Implant Solutions LLC 1007,174171.51,20,0.0024,99.1925
851,V0777,Sentinel Professional Services Co 3323,174054.22,24,0.0024,99.1949
852,V1958,Sentinel RX Wholesale Ltd 2363,173793.05,19,0.0024,99.1973
853,V1437,Cascade Surgical Systems LP 0922,173765.77,28,0.0024,99.1997
854,V2484,Granite Lab Solutions Ltd 0152,173224.35,28,0.0024,99.2021
855,V2775,Cornerstone Clinical Staffing Corp 0335,173150.1,27,0.0024,99.2045
856,V2210,Northgate Surgical Systems Holdings 0322,172128.79,24,0.0024,99.2068
857,V1212,Cornerstone Supply Company Ltd 0596,169645.94,16,0.0023,99.2092
858,V3304,Beacon Water Authority Ltd 0183,169369.5,20,0.0023,99.2115
859,V1059,Highland Property Mgmt Ltd 1698,168667.83,22,0.0023,99.2139
860,V3200,Paramount Lodging Partners Co 2784,168591.58,34,0.0023,99.2162
861,V2127,Continental BioSupply Holdings 2435,168176.96,23,0.0023,99.2185
862,V2610,Liberty Laboratory Supply LP 0615,168044.9,30,0.0023,99.2208
863,V3283,Summit Diagnostics Supply Group 1332,167863.99,24,0.0023,99.2232
864,V2576,Evergreen Professional Services Ltd 1105,166338.46,19,0.0023,99.2255
865,V1854,Cascade Workforce Solutions LLC 1016,165070.79,24,0.0023,99.2277
866,V0419,Continental Medical Devices Corp 0612,164991.68,32,0.0023,99.23
867,V0634,United Data Systems LP 1081,164176.25,16,0.0023,99.2323
868,V1118,Crescent Office Supply LP 0482,163601.99,31,0.0023,99.2346
869,V1321,Highland Environmental Svcs LP 1448,162938.05,35,0.0023,99.2368
870,V0910,Beacon Diagnostics Supply Ltd 3231,161759.07,18,0.0022,99.2391
871,V2792,Integrated Pharmaceuticals Group 0525,161692.83,16,0.0022,99.2413
872,V1080,Liberty Diagnostics Supply Corp 1134,161437.23,21,0.0022,99.2435
873,V1412,Evergreen Gas Company Group 2823,160638.4,27,0.0022,99.2457
874,V3143,Allied Utility Services Holdings 0487,159641.07,16,0.0022,99.248
875,V0436,Liberty Medical Devices Holdings 1927,159491.13,19,0.0022,99.2502
876,V1234,Regional Partners LLP Corp 0117,159275.16,38,0.0022,99.2524
877,V0918,Cornerstone Medical Devices Inc 2799,158195.15,32,0.0022,99.2546
878,V1396,Continental Diagnostics LP 0791,157073.31,14,0.0022,99.2567
879,V1082,United Lodging Partners Ltd 2895,156399.62,23,0.0022,99.2589
880,V1592,Allied Pharma Distribution Holdings 1783,154918.14,22,0.0021,99.261
881,V3020,Allied Clinical Reagents LP 2607,154682.48,34,0.0021,99.2632
882,V1921,Southpoint Mechanical Group Holdings 2073,154351.6,19,0.0021,99.2653
883,V1273,Pinnacle Software Solutions Holdings 2574,154234.13,17,0.0021,99.2674
884,V3000,National Biologics Inc 0070,152978.04,26,0.0021,99.2696
885,V2199,Apex Lab Solutions LLC 2727,152440.94,31,0.0021,99.2717
886,V2038,Brightline Pharmaceuticals Corp 0102,152370.76,34,0.0021,99.2738
887,V0892,Continental Conference Group Holdings 0624,152161.29,15,0.0021,99.2759
888,V0407,Ironwood BioSupply Group 0751,152050.41,23,0.0021,99.278
889,V0689,Summit Clinical Staffing Corp 0830,151998.75,12,0.0021,99.2801
890,V3280,Sentinel Diagnostics Inc 3320,151673.48,20,0.0021,99.2822
891,V3238,Vertex Lab Solutions LLC 2906,151448.88,16,0.0021,99.2843
892,V2516,Ironwood Office Supply LLC 2611,151154.83,16,0.0021,99.2864
893,V1250,Ironwood Travel Services Co 2463,150229.41,19,0.0021,99.2884
894,V2478,Pinnacle Medical Devices Holdings 1510,150083.06,21,0.0021,99.2905
895,V0568,Granite Pharma Distribution LLC 1014,149990.67,16,0.0021,99.2926
896,V2635,Southpoint Environmental Svcs Inc 0587,149874.8,17,0.0021,99.2947
897,V3065,Beacon Health IT Ltd 2788,149032.74,24,0.0021,99.2967
898,V0809,Cornerstone Building Maintenance LLC 3005,148761.41,14,0.0021,99.2988
899,V1783,Pinnacle Lab Solutions Co 2969,147658.79,25,0.002,99.3008
900,V1659,Granite Technology Group Group 2807,146610.6,21,0.002,99.3029
901,V0041,Precision Health IT Group 1374,146576.73,21,0.002,99.3049
902,V3367,Harbor Advisory Partners Corp 2275,146538.87,14,0.002,99.3069
903,V0513,Integrated Pharmaceuticals Corp 2355,145467.65,18,0.002,99.3089
904,V0569,Atlas Health IT LLC 2111,143937.5,18,0.002,99.3109
905,V2819,Premier Software Solutions Holdings 3493,143832.52,21,0.002,99.3129
906,V2438,Advanced Partners LLP Co 2911,143304.68,12,0.002,99.3149
907,V1194,Regional Utility Services Corp 0407,143189.46,17,0.002,99.3169
908,V3234,National RX Wholesale Group 3044,143063.06,15,0.002,99.3188
909,V0283,Southpoint Diagnostics Supply Corp 1687,143061.05,15,0.002,99.3208
910,V1716,Vanguard Staffing Group LLC 3133,142991.96,17,0.002,99.3228
911,V0091,Highland MedTech Ltd 3283,142785.03,24,0.002,99.3248
912,V1472,Meridian Surgical Systems Co 3251,141921.74,19,0.002,99.3267
913,V1362,Southpoint Cloud Services Ltd 0285,141038.99,19,0.002,99.3287
914,V1932,Keystone Consulting Group LP 0567,141011.32,24,0.002,99.3306
915,V3469,Brightline BioSupply Ltd 2511,140677.06,17,0.0019,99.3326
916,V3071,Granite Pharmaceuticals Holdings 2056,139507.86,15,0.0019,99.3345
917,V1307,Integrated Associates Ltd 0273,139155.41,18,0.0019,99.3364
918,V1425,Vertex Cloud Services Holdings 1809,138456.38,17,0.0019,99.3383
919,V2171,Reliable Cloud Services Group 1637,137080.1,19,0.0019,99.3402
920,V0930,Cardinal Staffing Group Ltd 1028,137042.37,25,0.0019,99.3421
921,V2517,Allied Diagnostics Holdings 2712,136700.48,19,0.0019,99.344
922,V0495,Paramount Business Products Inc 0634,135490.24,29,0.0019,99.3459
923,V0523,Integrated Diagnostics Co 1064,133837.12,18,0.0019,99.3478
924,V1109,Highland Gas Company Holdings 0602,133392.91,18,0.0018,99.3496
925,V2278,Meridian MedTech LP 0926,133256.32,25,0.0018,99.3514
926,V2034,United Technology Group LP 2755,132189.9,34,0.0018,99.3533
927,V1198,Riverside Consulting Group Co 0901,131259.33,29,0.0018,99.3551
928,V1479,Coastal Property Mgmt Inc 0989,131167.81,18,0.0018,99.3569
929,V1730,Evergreen Health IT Holdings 3032,129337.78,24,0.0018,99.3587
930,V1286,Summit Events Management Corp 2588,129172.31,33,0.0018,99.3605
931,V3261,Cascade Drug Supply LLC 1298,129169.27,14,0.0018,99.3623
932,V3456,Apex Office Supply Corp 2018,129139.97,18,0.0018,99.364
933,V1492,Harbor Business Products Group 2766,127773.33,16,0.0018,99.3658
934,V1216,Southpoint Mechanical Group Inc 2446,127204.88,23,0.0018,99.3676
935,V2035,Paramount Medical Devices LLC 2747,126907.11,14,0.0018,99.3693
936,V0552,Advanced MedTech LP 3469,126196.08,20,0.0017,99.3711
937,V1977,Brightline Facilities Services LP 3139,125828.15,31,0.0017,99.3728
938,V2877,Ironwood Clinical Reagents Co 2187,125420.32,38,0.0017,99.3746
939,V0458,Northgate Health IT LLC 1990,124959.92,31,0.0017,99.3763
940,V2726,Frontier Healthcare Staffing Co 3069,124949.63,20,0.0017,99.378
941,V2900,Northgate Health IT LP 1068,124496.48,21,0.0017,99.3797
942,V3352,Vertex Medical Devices Holdings 2638,124388.8,18,0.0017,99.3814
943,V2660,Dominion BioSupply Co 1544,123746.84,18,0.0017,99.3832
944,V2379,Brightline Surgical Systems Co 3340,123102.21,21,0.0017,99.3849
945,V3468,Allied Lab Solutions Co 1538,122895.68,16,0.0017,99.3866
946,V0145,Granite Property Mgmt Group 1695,122426.12,28,0.0017,99.3883
947,V0585,Apex Travel Services LLC 1952,122350.83,27,0.0017,99.3899
948,V3356,Apex BioSupply Holdings 1585,122335.2,19,0.0017,99.3916
949,V0010,Southpoint Data Systems Ltd 1126,122161.74,19,0.0017,99.3933
950,V2602,United Partners LLP Holdings 0087,121993.07,15,0.0017,99.395
951,V2272,Vertex Partners LLP Co 2392,121676.55,32,0.0017,99.3967
952,V2264,Premier Drug Supply Ltd 2614,121646.2,21,0.0017,99.3984
953,V3350,Meridian Software Solutions LLC 2428,121429.99,18,0.0017,99.4001
954,V0290,Vertex Implant Solutions LP 2696,120017.62,25,0.0017,99.4017
955,V2431,Vertex General Supply Inc 1041,119987.69,27,0.0017,99.4034
956,V1673,Harbor Healthcare Staffing Corp 2639,119325.97,24,0.0017,99.405
957,V2113,Paramount Medical Devices Inc 1219,119318.12,25,0.0017,99.4067
958,V2728,Brightline Medical Devices Corp 1378,119218.42,14,0.0016,99.4083
959,V2876,Southpoint MedTech LP 1385,118951.85,17,0.0016,99.41
960,V1725,Heritage Mechanical Group Holdings 1888,118691.76,31,0.0016,99.4116
961,V1766,Granite Biologics Corp 2769,118414.88,22,0.0016,99.4133
962,V1438,Bluegrass Environmental Svcs LP 3344,118124.73,14,0.0016,99.4149
963,V1561,Bluegrass Water Authority Inc 1274,118111.24,27,0.0016,99.4165
964,V2961,Cornerstone Print Services Inc 1956,117764.67,34,0.0016,99.4182
965,V2710,Beacon Associates Group 2115,117398.71,31,0.0016,99.4198
966,V2885,Harbor Facilities Services Inc 2845,117235.25,34,0.0016,99.4214
967,V1181,Integrated Locum Partners Inc 2346,117077.66,14,0.0016,99.423
968,V0311,Continental Building Maintenance LLC 2222,117005.51,15,0.0016,99.4246
969,V2312,Continental Biologics Ltd 2276,116228.12,19,0.0016,99.4262
970,V0327,Harbor General Supply Co 1091,115312.78,22,0.0016,99.4278
971,V1702,Cascade Water Authority Group 0963,114968.95,31,0.0016,99.4294
972,V1546,Liberty Technology Group Inc 3219,114687.59,18,0.0016,99.431
973,V2765,Brightline Biologics Corp 1243,114577.04,20,0.0016,99.4326
974,V1937,Ironwood Building Maintenance LP 1596,114185.4,24,0.0016,99.4342
975,V0179,Crescent Business Products Ltd 1854,113344.77,17,0.0016,99.4357
976,V2533,Reliable Associates Group 2240,113061.47,21,0.0016,99.4373
977,V1029,United Clinical Staffing Co 1575,113025.51,20,0.0016,99.4389
978,V2655,Bluegrass Cloud Services Inc 1555,112805.19,25,0.0016,99.4404
979,V1235,Cardinal Implant Solutions Group 0133,112793.62,17,0.0016,99.442
980,V1038,Beacon Software Solutions Corp 1840,112662.66,19,0.0016,99.4435
981,V2105,Granite Partners LLP Ltd 0010,112417.53,21,0.0016,99.4451
982,V3423,Continental Advisory Partners Co 1775,112271.06,14,0.0016,99.4467
983,V1712,Northgate Cloud Services LP 1119,112076.24,26,0.0016,99.4482
984,V0081,Cardinal Associates Inc 3209,111940.88,16,0.0015,99.4498
985,V1724,Reliable Building Maintenance Inc 1784,111596.71,32,0.0015,99.4513
986,V3267,Vanguard Medical Devices Ltd 1651,111548.65,28,0.0015,99.4528
987,V1107,Advanced Diagnostics Holdings 2532,111514.02,37,0.0015,99.4544
988,V1532,Precision Medical Devices Inc 2980,111098.48,15,0.0015,99.4559
989,V2388,Paramount Drug Supply Ltd 1796,110489.37,15,0.0015,99.4574
990,V3444,Metro Software Solutions Co 1553,110438.12,19,0.0015,99.459
991,V1584,Vertex Laboratory Supply Group 2149,110350.87,18,0.0015,99.4605
992,V1607,Vanguard Gas Company Holdings 0231,109860.06,28,0.0015,99.462
993,V1100,Southpoint Surgical Systems Inc 2606,109638.69,21,0.0015,99.4635
994,V2769,Northgate Business Products Group 0071,109592.45,21,0.0015,99.4651
995,V2391,Crescent Consulting Group LLC 2083,109493.77,22,0.0015,99.4666
996,V2561,Reliable Advisory Partners Group 1444,109421.33,32,0.0015,99.4681
997,V3195,Dominion Consulting Group LP 2855,109267.66,26,0.0015,99.4696
998,V0721,Apex Environmental Svcs Group 0746,108620.32,17,0.0015,99.4711
999,V0797,Continental Drug Supply Group 2075,108589.19,12,0.0015,99.4726
1000,V2186,Southpoint MedTech Corp 2055,108506.65,20,0.0015,99.4741
1001,V2025,Paramount Data Systems Inc 1638,107911.92,22,0.0015,99.4756
1002,V3228,Lakeshore Surgical Systems Inc 1346,107524.76,27,0.0015,99.4771
1003,V0024,Northgate General Supply Ltd 2676,107022.63,14,0.0015,99.4786
1004,V3053,Trinity Partners LLP Inc 0617,106845.06,24,0.0015,99.48
1005,V1693,Ironwood Diagnostics Supply Inc 0287,105827.26,24,0.0015,99.4815
1006,V2601,Metro Software Solutions Ltd 0826,105380.38,27,0.0015,99.483
1007,V2189,Allied Diagnostics Supply Co 2250,105094.42,16,0.0015,99.4844
1008,V0791,Lakeshore MedTech Ltd 3337,104597.71,15,0.0014,99.4859
1009,V2568,Regional Pharmaceuticals Group 1664,104115.3,16,0.0014,99.4873
1010,V1432,Cascade Advisory Partners Inc 1099,103500.25,18,0.0014,99.4887
1011,V1544,Integrated MedTech Inc 1258,103147.2,24,0.0014,99.4902
1012,V0980,Ironwood Surgical Systems Inc 3184,103032.28,29,0.0014,99.4916
1013,V1690,Southpoint Cloud Services Inc 0631,102776.75,25,0.0014,99.493
1014,V1765,Sterling Surgical Systems Inc 3076,102549.75,13,0.0014,99.4944
1015,V2163,Highland Technology Group Holdings 3002,102304.83,33,0.0014,99.4958
1016,V0608,Cascade Medical Devices Co 3210,102161.36,15,0.0014,99.4972
1017,V3014,Brightline Associates Group 0938,101545.77,26,0.0014,99.4987
1018,V2540,Northgate Building Maintenance Corp 1205,101444.94,25,0.0014,99.5001
1019,V0333,Cardinal Advisory Partners Corp 3353,101202.94,22,0.0014,99.5015
1020,V0070,Northgate Technology Group LLC 2020,101169.84,19,0.0014,99.5029
1021,V3173,Precision Locum Partners Co 0590,101002.45,28,0.0014,99.5043
1022,V3373,Vanguard Office Supply Co 1712,100583.85,30,0.0014,99.5056
1023,V0531,United Advisory Partners LLC 1424,100226.62,16,0.0014,99.507
1024,V0447,Keystone Gas Company LP 0027,100214.38,17,0.0014,99.5084
1025,V2467,Coastal Print Services Corp 0909,99920.84,12,0.0014,99.5098
1026,V0374,Cardinal BioSupply Corp 0844,99732.92,29,0.0014,99.5112
1027,V1116,Lakeshore Drug Supply Corp 1661,99665.62,16,0.0014,99.5126
1028,V1923,Highland Mechanical Group Corp 2861,99185.29,28,0.0014,99.5139
1029,V2065,National Data Systems LLC 2900,99096.68,13,0.0014,99.5153
1030,V2755,Metro General Supply LLC 2061,98866.16,18,0.0014,99.5167
1031,V3443,Cardinal Drug Supply Corp 0575,98163.17,18,0.0014,99.518
1032,V2300,Premier Clinical Staffing Inc 0109,97569.23,11,0.0013,99.5194
1033,V2380,Southpoint Professional Services LP 3299,97539.79,20,0.0013,99.5207
1034,V1621,Summit Diagnostics LP 2109,97517.83,28,0.0013,99.5221
